write multiprocess=16, filenum=10240, datasize=100000(bytes), eplapsed=7.194527626037598
reads multiprocess=16, filenum=10240, datasize=100000(bytes), eplapsed=3.299574375152588
write multiprocess=16, filenum=20480, datasize=1000(bytes), eplapsed=6.679862022399902
reads multiprocess=16, filenum=20480, datasize=1000(bytes), eplapsed=6.590345144271851
write multiprocess=16, filenum=20480, datasize=10000(bytes), eplapsed=8.372751235961914
reads multiprocess=16, filenum=20480, datasize=10000(bytes), eplapsed=6.5158326625823975
write multiprocess=16, filenum=20480, datasize=100000(bytes), eplapsed=14.883158445358276
reads multiprocess=16, filenum=20480, datasize=100000(bytes), eplapsed=6.669099569320679
write multiprocess=16, filenum=40960, datasize=1000(bytes), eplapsed=14.18788456916809
reads multiprocess=16, filenum=40960, datasize=1000(bytes), eplapsed=13.142035961151123
write multiprocess=16, filenum=40960, datasize=10000(bytes), eplapsed=13.617790937423706
reads multiprocess=16, filenum=40960, datasize=10000(bytes), eplapsed=13.429699420928955
write multiprocess=16, filenum=40960, datasize=100000(bytes), eplapsed=29.971919536590576
reads multiprocess=16, filenum=40960, datasize=100000(bytes), eplapsed=13.494532585144043
