write multiprocess=16, filenum=10240, datasize=100000(bytes), eplapsed=6.703065872192383
reads multiprocess=16, filenum=10240, datasize=100000(bytes), eplapsed=3.646178722381592
write multiprocess=16, filenum=20480, datasize=1000(bytes), eplapsed=6.9299492835998535
reads multiprocess=16, filenum=20480, datasize=1000(bytes), eplapsed=7.065007209777832
write multiprocess=16, filenum=20480, datasize=10000(bytes), eplapsed=8.245220184326172
reads multiprocess=16, filenum=20480, datasize=10000(bytes), eplapsed=6.8338611125946045
write multiprocess=16, filenum=20480, datasize=100000(bytes), eplapsed=11.099011898040771
reads multiprocess=16, filenum=20480, datasize=100000(bytes), eplapsed=7.326204299926758
write multiprocess=16, filenum=40960, datasize=1000(bytes), eplapsed=13.78165316581726
reads multiprocess=16, filenum=40960, datasize=1000(bytes), eplapsed=15.296786308288574
write multiprocess=16, filenum=40960, datasize=10000(bytes), eplapsed=16.615246295928955
reads multiprocess=16, filenum=40960, datasize=10000(bytes), eplapsed=12.704174757003784
write multiprocess=16, filenum=40960, datasize=100000(bytes), eplapsed=26.200644493103027
reads multiprocess=16, filenum=40960, datasize=100000(bytes), eplapsed=14.970043182373047
