write multiprocess=16, filenum=10240, datasize=100000(bytes), eplapsed=5.410057783126831
reads multiprocess=16, filenum=10240, datasize=100000(bytes), eplapsed=3.494192123413086
write multiprocess=16, filenum=20480, datasize=1000(bytes), eplapsed=7.230011463165283
reads multiprocess=16, filenum=20480, datasize=1000(bytes), eplapsed=6.650468826293945
write multiprocess=16, filenum=20480, datasize=10000(bytes), eplapsed=8.68411898612976
reads multiprocess=16, filenum=20480, datasize=10000(bytes), eplapsed=6.292818546295166
write multiprocess=16, filenum=20480, datasize=100000(bytes), eplapsed=11.206525325775146
reads multiprocess=16, filenum=20480, datasize=100000(bytes), eplapsed=6.850542783737183
write multiprocess=16, filenum=40960, datasize=1000(bytes), eplapsed=14.87847375869751
reads multiprocess=16, filenum=40960, datasize=1000(bytes), eplapsed=12.609941959381104
write multiprocess=16, filenum=40960, datasize=10000(bytes), eplapsed=16.30275321006775
reads multiprocess=16, filenum=40960, datasize=10000(bytes), eplapsed=13.169754028320312
write multiprocess=16, filenum=40960, datasize=100000(bytes), eplapsed=34.68364095687866
reads multiprocess=16, filenum=40960, datasize=100000(bytes), eplapsed=13.702333927154541
