reads multiprocess=16, filenum=10240, datasize=100000(bytes), eplapsed=78.41895890235901
write multiprocess=16, filenum=20480, datasize=1000(bytes), eplapsed=133.38804817199707
reads multiprocess=16, filenum=20480, datasize=1000(bytes), eplapsed=91.00010323524475
write multiprocess=16, filenum=20480, datasize=10000(bytes), eplapsed=121.68193459510803
reads multiprocess=16, filenum=20480, datasize=10000(bytes), eplapsed=96.88649034500122
write multiprocess=16, filenum=20480, datasize=100000(bytes), eplapsed=283.0523512363434
reads multiprocess=16, filenum=20480, datasize=100000(bytes), eplapsed=157.45736980438232
write multiprocess=16, filenum=40960, datasize=1000(bytes), eplapsed=407.541836977005
reads multiprocess=16, filenum=40960, datasize=1000(bytes), eplapsed=183.3992657661438
write multiprocess=16, filenum=40960, datasize=10000(bytes), eplapsed=326.3675653934479
reads multiprocess=16, filenum=40960, datasize=10000(bytes), eplapsed=228.50681114196777
write multiprocess=16, filenum=40960, datasize=100000(bytes), eplapsed=543.7026193141937
reads multiprocess=16, filenum=40960, datasize=100000(bytes), eplapsed=329.39106035232544
