write multiprocess=16, filenum=10240, datasize=100000(bytes), eplapsed=5.7019219398498535
reads multiprocess=16, filenum=10240, datasize=100000(bytes), eplapsed=3.438835859298706
write multiprocess=16, filenum=20480, datasize=1000(bytes), eplapsed=7.0767693519592285
reads multiprocess=16, filenum=20480, datasize=1000(bytes), eplapsed=6.8866868019104
write multiprocess=16, filenum=20480, datasize=10000(bytes), eplapsed=7.001109838485718
reads multiprocess=16, filenum=20480, datasize=10000(bytes), eplapsed=6.568405866622925
write multiprocess=16, filenum=20480, datasize=100000(bytes), eplapsed=11.732074737548828
reads multiprocess=16, filenum=20480, datasize=100000(bytes), eplapsed=7.100434064865112
write multiprocess=16, filenum=40960, datasize=1000(bytes), eplapsed=13.174503564834595
reads multiprocess=16, filenum=40960, datasize=1000(bytes), eplapsed=12.567870378494263
write multiprocess=16, filenum=40960, datasize=10000(bytes), eplapsed=13.483826875686646
reads multiprocess=16, filenum=40960, datasize=10000(bytes), eplapsed=12.940485000610352
write multiprocess=16, filenum=40960, datasize=100000(bytes), eplapsed=21.66557288169861
reads multiprocess=16, filenum=40960, datasize=100000(bytes), eplapsed=13.364969491958618
