write multiprocess=16, filenum=10240, datasize=100000(bytes), eplapsed=6.072553396224976
reads multiprocess=16, filenum=10240, datasize=100000(bytes), eplapsed=3.6180531978607178
write multiprocess=16, filenum=20480, datasize=1000(bytes), eplapsed=6.651976585388184
reads multiprocess=16, filenum=20480, datasize=1000(bytes), eplapsed=7.001266717910767
write multiprocess=16, filenum=20480, datasize=10000(bytes), eplapsed=6.961143493652344
reads multiprocess=16, filenum=20480, datasize=10000(bytes), eplapsed=6.622247934341431
write multiprocess=16, filenum=20480, datasize=100000(bytes), eplapsed=11.720694065093994
reads multiprocess=16, filenum=20480, datasize=100000(bytes), eplapsed=7.412033796310425
write multiprocess=16, filenum=40960, datasize=1000(bytes), eplapsed=12.679604768753052
reads multiprocess=16, filenum=40960, datasize=1000(bytes), eplapsed=13.376362085342407
write multiprocess=16, filenum=40960, datasize=10000(bytes), eplapsed=13.736987113952637
reads multiprocess=16, filenum=40960, datasize=10000(bytes), eplapsed=12.949912071228027
write multiprocess=16, filenum=40960, datasize=100000(bytes), eplapsed=22.659030199050903
reads multiprocess=16, filenum=40960, datasize=100000(bytes), eplapsed=15.172403812408447
