write multiprocess=16, filenum=10240, datasize=100000(bytes), eplapsed=5.411759614944458
reads multiprocess=16, filenum=10240, datasize=100000(bytes), eplapsed=3.746325731277466
write multiprocess=16, filenum=20480, datasize=1000(bytes), eplapsed=6.822788238525391
reads multiprocess=16, filenum=20480, datasize=1000(bytes), eplapsed=6.8450987339019775
write multiprocess=16, filenum=20480, datasize=10000(bytes), eplapsed=6.56835675239563
reads multiprocess=16, filenum=20480, datasize=10000(bytes), eplapsed=6.772839546203613
write multiprocess=16, filenum=20480, datasize=100000(bytes), eplapsed=11.8604896068573
reads multiprocess=16, filenum=20480, datasize=100000(bytes), eplapsed=7.415176153182983
write multiprocess=16, filenum=40960, datasize=1000(bytes), eplapsed=13.626034498214722
reads multiprocess=16, filenum=40960, datasize=1000(bytes), eplapsed=13.107560396194458
write multiprocess=16, filenum=40960, datasize=10000(bytes), eplapsed=13.78028678894043
reads multiprocess=16, filenum=40960, datasize=10000(bytes), eplapsed=13.437303066253662
write multiprocess=16, filenum=40960, datasize=100000(bytes), eplapsed=23.762964010238647
reads multiprocess=16, filenum=40960, datasize=100000(bytes), eplapsed=13.992087602615356
